,tweet,tweet_id,language,time&date,retweet,reply,likes,quotes
89,"@AdeoyeGbola @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442852891963392,en,2020-12-19T23:44:15.000Z,0,0,0,0
90,"@everythingpj_ @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442829294874624,en,2020-12-19T23:44:09.000Z,0,0,0,0
91,"@Dj_Rotwell @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442784193458183,en,2020-12-19T23:43:58.000Z,0,0,0,0
92,"@DB0SS1 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442762097901568,en,2020-12-19T23:43:53.000Z,0,0,0,0
93,"@lerroyli @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442705416077317,en,2020-12-19T23:43:39.000Z,0,0,0,0
94,"@Michael55252448 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442678501269509,en,2020-12-19T23:43:33.000Z,0,0,0,0
95,"@stanleysneh_ @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442652714610689,en,2020-12-19T23:43:27.000Z,0,0,0,0
96,"@snowv103 @iamola_01 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442627813105664,en,2020-12-19T23:43:21.000Z,0,0,0,0
97,"@iamola_01 @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442604056563712,en,2020-12-19T23:43:15.000Z,0,0,0,0
98,Must be Duke of Ibadan that called the police on Cubana's club. Don't mess with DJ Cuppy sha,1340442593390411776,en,2020-12-19T23:43:13.000Z,13,5,39,2
99,"@TumininuSolomon @cuppymusic Hi, I see you love DJ CUPPY Songs &amp; Cool Music 🎼
Kindly Checkout JIBADE New Single Titled GBERAGA, am sure you gonna love it 😊 

https://t.co/kGKdDfmTdq",1340442546036760576,en,2020-12-19T23:43:01.000Z,0,0,0,0
